"" ,"SampleID" ,"Species" ,"Colony" ,"Volume" ,"HPC" ,"PercentBleached" ,"PercentDead" ,"TrayNum" ,"TrayWt" ,"DW" ,"AW" ,"AFDW" ,"pcAFDW" ,"SA" ,"Check" ,"Compromised" ,"Aqua" ,"Tank" ,"Nuts"
"90" ,30 ,"Montipora" ,3 ,3 ,"H" ,0 ,0 ,234 ,1.00147 ,2.98393 ,2.81823 ,0.1657 ,0.0555307932826843 ,16.1252990147648 ,NA ,FALSE ,17 ,"Mid" ,"Medium"
"91" ,31 ,"Montipora" ,1 ,8 ,"C" ,0 ,3 ,269 ,0.98329 ,6.37551 ,6.13861 ,0.236899999999999 ,0.0371578116887903 ,21.0114664979163 ,NA ,TRUE ,17 ,"Mid" ,"Medium"
"92" ,31 ,"Montipora" ,2 ,4 ,"H" ,0 ,0 ,270 ,1.01363 ,2.57647 ,2.38577 ,0.1907 ,0.0740159986337897 ,17.2104130329727 ,NA ,FALSE ,17 ,"Mid" ,"Medium"
"93" ,31 ,"Montipora" ,3 ,1 ,"H" ,0 ,0 ,271 ,1.02134 ,1.55466 ,1.48736 ,0.0672999999999999 ,0.043289207929708 ,10.2202599389354 ,NA ,FALSE ,17 ,"Mid" ,"Medium"
"94" ,32 ,"Montipora" ,1 ,5 ,"P" ,5 ,0 ,200 ,0.9893 ,3.9315 ,3.7265 ,0.205 ,0.05214294798423 ,21.1628777562709 ,NA ,FALSE ,17 ,"Mid" ,"Medium"
"95" ,32 ,"Montipora" ,2 ,5 ,"H" ,0 ,0 ,201 ,0.99117 ,3.95033 ,3.77893 ,0.171399999999999 ,0.0433887801778584 ,21.3048258109783 ,NA ,FALSE ,17 ,"Mid" ,"Medium"
"96" ,32 ,"Montipora" ,3 ,3 ,"H" ,0 ,0 ,202 ,1.03281 ,2.55209 ,2.39349 ,0.1586 ,0.0621451437841143 ,12.8951921698667 ,NA ,FALSE ,17 ,"Mid" ,"Medium"
"97" ,33 ,"Montipora" ,1 ,4 ,"C" ,0 ,0 ,248 ,0.97825 ,3.17545 ,3.06005 ,0.1154 ,0.0363413059566361 ,15.2262946682843 ,NA ,TRUE ,21 ,"Mid" ,"High"
"98" ,33 ,"Montipora" ,2 ,6 ,"H" ,0 ,0 ,249 ,1.00768 ,3.58882 ,3.41242 ,0.1764 ,0.0491526462737056 ,21.7527507836107 ,NA ,FALSE ,21 ,"Mid" ,"High"
"99" ,33 ,"Montipora" ,3 ,2 ,"H" ,0 ,0 ,250 ,0.97235 ,1.97465 ,1.86475 ,0.1099 ,0.0556554326083104 ,9.24870436449339 ,NA ,FALSE ,21 ,"Mid" ,"High"
"100" ,34 ,"Montipora" ,1 ,4 ,"C" ,0 ,100 ,256 ,0.99492 ,3.15008 ,3.01888 ,0.1312 ,0.0416497358797236 ,16.5416799752399 ,NA ,TRUE ,21 ,"Mid" ,"High"
"101" ,34 ,"Montipora" ,2 ,2 ,"C" ,0 ,100 ,257 ,1.00429 ,1.26121 ,1.19851 ,0.0627 ,0.0497141633827832 ,9.10360190857023 ,NA ,TRUE ,21 ,"Mid" ,"High"
